No,Judul Tugas,Topik,Deskripsi Tugas,Dosen Pengampu,Status,Tanggal Pengumpulan
1,Sistem Monitoring Suhu dan Kelembaban Berbasis IoT (Tahun 2025),IoT,Pembangunan sistem monitoring untuk pengendalian suhu dan kelembaban menggunakan sensor IoT.,Prof. Michael Brown,Dalam Proses,2025-06-01
2,Smart Farming untuk Tanaman Sayur Menggunakan IoT (Tahun 2025),IoT,Membangun sistem pemantauan dan pengawasan jarak jauh untuk peternakan dengan IoT.,Prof. Jane Smith,Dalam Proses,2025-07-20
3,Pendeteksian Penyakit dengan Machine Learning (Studi Kasus Bandung),Machine Learning,Membangun sistem rekomendasi film menggunakan algoritma KNN.,Dr. Sarah Lee,Selesai,2025-06-30
4,Pendeteksi Kelembaban Tanah Berbasis IoT (Studi Kasus Bandung),IoT,Perancangan sistem keamanan rumah berbasis IoT dengan kamera pengawas.,Dr. John Doe,Tunggu Evaluasi,2025-06-30
5,Aplikasi Pengolahan Citra Menggunakan Deep Learning (PT XYZ),AI,Penerapan deep learning untuk pengolahan citra dalam bidang medis.,Dr. Emily Johnson,Tunggu Evaluasi,2025-07-20
6,Sistem Penjadwalan Dosen Berbasis Web (Studi Kasus Bandung),Web,Merancang sistem penjadwalan dosen berbasis web untuk universitas.,Dr. Sarah Lee,Belum Dikerjakan,2025-06-15
7,Sistem Penjadwalan Dosen Berbasis Web (Tahun 2025),Web,Pengembangan portal informasi kampus berbasis web dengan React.,Prof. Jane Smith,Tunggu Evaluasi,2025-06-30
8,Pengenalan Wajah Menggunakan Algoritma AI dan CNN (Studi Kasus Bandung),AI,Penerapan deep learning untuk pengolahan citra dalam bidang medis.,Dr. Emily Johnson,Tunggu Evaluasi,2025-07-20
9,Aplikasi Pendaftaran Online Menggunakan Laravel (Tahun 2025),Web,Membangun aplikasi pendaftaran mahasiswa baru berbasis Laravel.,Prof. Michael Brown,Dalam Proses,2025-06-15
10,Kendali Otomatis Lampu Rumah dengan NodeMCU (PT XYZ),IoT,Mengukur kelembaban tanah untuk pertanian menggunakan sensor berbasis IoT.,Prof. Jane Smith,Belum Dikerjakan,2025-06-15
11,Studi Kelayakan Implementasi Jaringan Fiber Optik (Studi Kasus Bandung),Jaringan,Melakukan analisis kinerja jaringan menggunakan Wireshark untuk mendeteksi masalah.,Dr. John Doe,Belum Dikerjakan,2025-07-05
12,Implementasi VPN untuk Keamanan Jaringan (Studi Kasus Bandung),Jaringan,Penerapan VPN untuk meningkatkan keamanan jaringan kampus.,Dr. Sarah Lee,Tunggu Evaluasi,2025-07-20
13,Sistem Informasi Manajemen Tugas Berbasis Mobile (PT XYZ),Mobile Apps,Sistem informasi manajemen tugas berbasis aplikasi mobile.,Prof. Michael Brown,Dalam Proses,2025-06-15
14,Chatbot Pelayanan Mahasiswa Menggunakan AI (Studi Kasus Bandung),AI,Membangun sistem rekomendasi film berbasis AI untuk platform streaming.,Dr. John Doe,Selesai,2025-06-01
15,Catatan Keuangan Harian Mobile (Studi Kasus Bandung),Mobile Apps,Membangun aplikasi catatan keuangan harian untuk manajemen pengeluaran pribadi.,Prof. Michael Brown,Dalam Proses,2025-06-15
16,Implementasi VPN untuk Keamanan Jaringan (PT XYZ),Jaringan,Konfigurasi jaringan dengan Mikrotik untuk meningkatkan bandwidth di kampus.,Prof. Michael Brown,Dalam Proses,2025-07-05
17,Prediksi Harga Saham Menggunakan RNN (Tahun 2025),Machine Learning,Penerapan CNN untuk klasifikasi citra dalam proyek pengenalan objek.,Prof. Michael Brown,Selesai,2025-07-05
18,Analisis Sentimen Twitter Menggunakan Naive Bayes (PT XYZ),Data Mining,Menggunakan Naive Bayes untuk mengklasifikasikan sentimen data Twitter.,Dr. Emily Johnson,Belum Dikerjakan,2025-07-05
19,Analisis Sentimen Twitter Menggunakan Naive Bayes (Studi Kasus Bandung),Data Mining,Melakukan klasifikasi data penjualan menggunakan algoritma C4.5.,Prof. Jane Smith,Selesai,2025-06-30
20,Sistem Penjadwalan Dosen Berbasis Web (PT XYZ),Web,Menerapkan sistem manajemen data siswa menggunakan PHP dan MySQL.,Dr. John Doe,Tunggu Evaluasi,2025-07-20
21,Aplikasi Kesehatan Mental Berbasis Android (Tahun 2025),Mobile Apps,Pengembangan platform pembelajaran bahasa asing berbasis aplikasi mobile.,Dr. John Doe,Belum Dikerjakan,2025-06-30
22,Pendeteksi Kelembaban Tanah Berbasis IoT (PT XYZ),IoT,Perancangan sistem keamanan rumah berbasis IoT dengan kamera pengawas.,Dr. John Doe,Belum Dikerjakan,2025-07-20
23,Aplikasi Pengolahan Citra Menggunakan Deep Learning (PT XYZ),AI,Penerapan deep learning untuk pengolahan citra dalam bidang medis.,Dr. Sarah Lee,Tunggu Evaluasi,2025-06-30
